Starting TrainingStep 1000, Loss= 0.24370366
Step 2000, Loss= 0.23679051
Step 3000, Loss= 0.12532938
Step 4000, Loss= 0.17062101
Step 5000, Loss= 0.31777188
Step 6000, Loss= 0.123120986
Step 7000, Loss= 0.14472903
Step 8000, Loss= 0.22044411
Step 9000, Loss= 0.13665642
Step 10000, Loss= 0.21827134
Step 11000, Loss= 0.17801292
Step 12000, Loss= 0.13549338
Step 13000, Loss= 0.13207266
Step 14000, Loss= 0.1623143
Step 15000, Loss= 0.1986485
Step 16000, Loss= 0.12528323
Step 17000, Loss= 0.117068365
Step 18000, Loss= 0.16261984
Step 19000, Loss= 0.10238303
Step 20000, Loss= 0.12543632
Step 21000, Loss= 0.17055088
Step 22000, Loss= 0.18865043
Step 23000, Loss= 0.13476498
Step 24000, Loss= 0.12506658
Step 25000, Loss= 0.21211173
Step 26000, Loss= 0.16090357
Step 27000, Loss= 0.14376049
Step 28000, Loss= 0.1365672
Step 29000, Loss= 0.16614537
Step 30000, Loss= 0.16573891
Step 31000, Loss= 0.1696281
Step 32000, Loss= 0.122550316
Step 33000, Loss= 0.14257301
Step 34000, Loss= 0.1576747
Step 35000, Loss= 0.11663365
Step 36000, Loss= 0.13671078
Step 37000, Loss= 0.11348953
Step 38000, Loss= 0.14242695
Step 39000, Loss= 0.09133271
Step 40000, Loss= 0.14392658
Step 41000, Loss= 0.09753586
Step 42000, Loss= 0.16187075
Step 43000, Loss= 0.13745454
Step 44000, Loss= 0.10638056
Step 45000, Loss= 0.14092855
Step 46000, Loss= 0.09760523
Step 47000, Loss= 0.07188483
Step 48000, Loss= 0.0037213801
Step 49000, Loss= 0.09454477
Step 50000, Loss= 0.09690739
Step 51000, Loss= 0.10484758
Step 52000, Loss= 0.14206524
Step 53000, Loss= 0.07559907
Step 54000, Loss= 0.09220743
Step 55000, Loss= 0.122595295
Step 56000, Loss= 0.06567188
Step 57000, Loss= 0.10040318
Step 58000, Loss= 0.10951968
Step 59000, Loss= 0.08895694
Step 60000, Loss= 0.12942404
Step 61000, Loss= 0.13255033
Step 62000, Loss= 0.08850003
Step 63000, Loss= 0.07225841
Step 64000, Loss= 0.08750959
Step 65000, Loss= 0.116663046
Step 66000, Loss= 0.103584975
Step 67000, Loss= 0.09655317
Step 68000, Loss= 0.06442367
Step 69000, Loss= 0.0925872
Step 70000, Loss= 0.09905864
Step 71000, Loss= 0.09089873
Step 72000, Loss= 0.0797651
Step 73000, Loss= 0.094028406
Step 74000, Loss= 0.09659921
Step 75000, Loss= 0.07400713
Step 76000, Loss= 0.07470033
Step 77000, Loss= 0.07475824
Step 78000, Loss= 0.08599773
Step 79000, Loss= 0.07645488
Step 80000, Loss= 0.07601385
